rattlesnake1 moving: from (550,450) to (550,450), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (550,450), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,450), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,450), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,450), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (550,450), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,450), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,450), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,450), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,450), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,450), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,450), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (550,450), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,450), setting isInPit=false
 rattlesnake1 moving: from (550,450) to (549,449), setting isInPit=false
 rattlesnake2 moving: from (550,450) to (549,449), setting isInPit=false
